Passenger_ID,Gender,Customer_Type,Age,Travel_Type,Travel_Class,Flight_Distance,Inflight_WiFi,Dep_Arr_Time_Convenient,Online_Booking,Gate_Location,Food_Drink,Online_Boarding,Seat_Comfort,Inflight_Entertainment,Onboard_Service,Leg_Room,Baggage_Handling,CheckIn_Service,Inflight_Service,Cleanliness,Departure_Delay_Minutes,Arrival_Delay_Minutes,Overall_Satisfaction,Departure_Delay,Arrival_Delay,Avg_Sat_Score,Customer_Sat
19556,Female,Loyal ,52,Business ,Eco,160,5,4,3,4,3,4,3,5,5,5,5,2,5,5,50,44,satisfied,Yes,Yes,4.14,Satisfied
90035,Female,Loyal ,36,Business ,Business,2863,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0,0,satisfied,No,No,3.43,Neutral
12360,Male,Disloyal ,20,Business ,Eco,192,2,0,2,4,2,2,2,2,4,1,3,2,2,2,0,0,neutral or dissatisfied,No,No,2.14,Neutral
77959,Male,Loyal ,44,Business ,Business,3377,0,0,0,2,3,4,4,1,1,1,1,3,1,4,0,6,satisfied,No,Yes,1.79,Dissatisfied
36875,Female,Loyal ,49,Business ,Eco,1182,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0,20,satisfied,No,Yes,2.64,Neutral
39177,Male,Loyal ,16,Business ,Eco,311,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0,0,satisfied,No,No,3.29,Neutral
79433,Female,Loyal ,77,Business ,Business,3987,5,5,5,5,3,5,5,5,5,5,5,4,5,3,0,0,satisfied,No,No,4.64,Satisfied
97286,Female,Loyal ,43,Business ,Business,2556,2,2,2,2,4,4,5,4,4,4,4,5,4,3,77,65,satisfied,Yes,Yes,3.50,Neutral
27508,Male,Loyal ,47,Business ,Eco,556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,0,satisfied,Yes,No,3.64,Neutral
62482,Female,Loyal ,46,Business ,Business,1744,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28,14,satisfied,Yes,Yes,3.43,Neutral
47583,Female,Loyal ,47,Business ,Eco,1235,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29,19,satisfied,Yes,Yes,2.79,Neutral
115550,Female,Loyal ,33,Business ,Business,325,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18,7,neutral or dissatisfied,Yes,Yes,3.00,Neutral
119987,Female,Loyal ,46,Business ,Business,1009,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0,0,satisfied,No,No,4.79,Satisfied
42141,Female,Loyal ,60,Business ,Business,451,1,1,4,1,5,5,4,5,5,5,5,3,5,5,117,113,satisfied,Yes,Yes,3.86,Neutral
2274,Female,Loyal ,52,Business ,Business,925,2,2,2,2,5,5,4,4,4,4,4,3,4,5,10,0,satisfied,Yes,No,3.57,Neutral
22470,Male,Loyal ,50,Personal ,Eco,83,3,4,0,3,2,0,2,2,4,2,4,4,5,2,5,2,neutral or dissatisfied,Yes,Yes,2.64,Neutral
124915,Female,Loyal ,31,Business ,Eco,728,2,5,5,5,2,2,2,2,4,3,3,4,3,2,2,0,neutral or dissatisfied,Yes,No,3.14,Neutral
17836,Male,Loyal ,52,Personal ,Eco Plus,1075,5,4,5,3,4,5,4,4,3,5,5,4,5,4,0,0,satisfied,No,No,4.29,Satisfied
76872,Female,Loyal ,43,Personal ,Eco,1927,3,4,3,1,4,4,5,5,5,3,5,4,5,3,0,0,neutral or dissatisfied,No,No,3.86,Neutral
64287,Female,Loyal ,50,Business ,Business,3799,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8,0,satisfied,Yes,No,4.57,Satisfied
63995,Male,Loyal ,60,Business ,Business,612,4,4,4,4,2,4,5,5,5,5,5,5,5,5,21,49,satisfied,Yes,Yes,4.43,Satisfied
75855,Male,Loyal ,43,Personal ,Eco,1437,3,4,3,4,2,3,2,2,4,2,4,4,5,2,0,0,neutral or dissatisfied,No,No,3.14,Neutral
106181,Male,Loyal ,55,Personal ,Eco,302,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0,0,neutral or dissatisfied,No,No,3.07,Neutral
44304,Male,Loyal ,25,Business ,Business,1428,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0,0,satisfied,No,No,3.64,Neutral
82602,Female,Disloyal ,30,Business ,Eco,528,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0,0,neutral or dissatisfied,No,No,3.14,Neutral
7823,Male,Loyal ,62,Personal ,Eco,710,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0,0,neutral or dissatisfied,No,No,3.36,Neutral
127781,Male,Loyal ,24,Business ,Business,3680,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0,0,satisfied,No,No,3.36,Neutral
34501,Female,Loyal ,22,Business ,Eco,1521,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3,13,satisfied,Yes,Yes,2.79,Neutral
121658,Male,Loyal ,44,Business ,Business,1543,3,5,3,3,5,4,5,5,5,5,5,5,5,5,0,0,satisfied,No,No,4.50,Satisfied
20219,Male,Loyal ,51,Business ,Eco,235,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0,0,neutral or dissatisfied,No,No,3.43,Neutral
67551,Male,Loyal ,43,Personal ,Business,1235,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,0,neutral or dissatisfied,No,No,2.71,Neutral
48994,Female,Loyal ,56,Business ,Eco,308,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,0,satisfied,No,No,2.64,Neutral
70811,Male,Disloyal ,41,Business ,Eco,624,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0,0,neutral or dissatisfied,No,No,3.43,Neutral
75241,Male,Loyal ,22,Personal ,Eco,1846,4,5,4,4,5,4,5,5,5,4,4,4,4,5,40,68,neutral or dissatisfied,Yes,Yes,4.43,Satisfied
12312,Female,Loyal ,53,Business ,Eco,192,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0,1,satisfied,No,Yes,3.64,Neutral
48372,Male,Loyal ,12,Personal ,Eco,674,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,70,neutral or dissatisfied,Yes,Yes,2.64,Neutral
51477,Female,Loyal ,39,Business ,Business,370,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10,12,satisfied,Yes,Yes,3.71,Neutral
84204,Female,Loyal ,55,Business ,Business,3169,1,1,1,1,3,5,4,5,5,5,5,3,5,5,73,68,satisfied,Yes,Yes,3.50,Neutral
70990,Female,Disloyal ,32,Business ,Business,802,4,4,4,2,2,4,4,2,4,2,4,3,5,2,0,10,neutral or dissatisfied,No,Yes,3.29,Neutral
101991,Female,Loyal ,40,Personal ,Eco,628,1,4,1,3,5,1,5,5,3,2,5,5,4,5,4,0,neutral or dissatisfied,Yes,No,3.50,Neutral
87447,Female,Disloyal ,42,Business ,Business,373,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0,0,neutral or dissatisfied,No,No,3.79,Neutral
