Flight_Distance,Dep_Arr_Time_Convenient,Departure_Delay_Minutes,Arrival_Delay_Minutes,Overall_Satisfaction
160,4,50,44,satisfied
2863,1,0,0,satisfied
192,0,0,0,neutral or dissatisfied
3377,0,0,6,satisfied
1182,3,0,20,satisfied
311,3,0,0,satisfied
3987,5,0,0,satisfied
2556,2,77,65,satisfied
556,2,1,0,satisfied
1744,2,28,14,satisfied
1235,1,29,19,satisfied
325,5,18,7,neutral or dissatisfied
1009,5,0,0,satisfied
451,1,117,113,satisfied
925,2,10,0,satisfied
83,4,5,2,neutral or dissatisfied
728,5,2,0,neutral or dissatisfied
1075,4,0,0,satisfied
1927,4,0,0,neutral or dissatisfied
3799,5,8,0,satisfied
612,4,21,49,satisfied
1437,4,0,0,neutral or dissatisfied
302,2,0,0,neutral or dissatisfied
1428,4,0,0,satisfied
528,3,0,0,neutral or dissatisfied
710,5,0,0,neutral or dissatisfied
3680,1,0,0,satisfied
1521,1,3,13,satisfied
1543,5,0,0,satisfied
235,3,0,0,neutral or dissatisfied
1235,5,0,0,neutral or dissatisfied
308,3,0,0,satisfied
624,3,0,0,neutral or dissatisfied
1846,5,40,68,neutral or dissatisfied
192,2,0,1,satisfied
674,4,80,70,neutral or dissatisfied
370,3,10,12,satisfied
3169,1,73,68,satisfied
802,4,0,10,neutral or dissatisfied
628,4,4,0,neutral or dissatisfied
373,3,0,0,neutral or dissatisfied
725,4,0,4,satisfied
277,3,116,177,neutral or dissatisfied
1024,1,0,3,satisfied
267,3,59,55,neutral or dissatisfied
550,1,92,90,satisfied
1889,2,0,0,satisfied
460,5,4,2,neutral or dissatisfied
3295,4,0,4,satisfied
1205,4,0,0,neutral or dissatisfied
990,5,0,0,neutral or dissatisfied
444,0,20,32,satisfied
520,2,17,0,satisfied
321,3,0,0,neutral or dissatisfied
651,3,0,0,satisfied
764,3,30,46,neutral or dissatisfied
566,3,0,0,satisfied
626,4,0,0,neutral or dissatisfied
130,0,3,4,neutral or dissatisfied
331,0,0,0,neutral or dissatisfied
158,3,66,57,satisfied
1829,4,0,0,neutral or dissatisfied
646,2,0,3,neutral or dissatisfied
404,1,9,6,satisfied
2738,5,0,0,satisfied
964,5,6,0,neutral or dissatisfied
1660,2,0,0,neutral or dissatisfied
872,3,14,0,neutral or dissatisfied
1898,5,49,47,satisfied
967,2,44,40,satisfied
1242,4,3,0,neutral or dissatisfied
1042,2,0,0,neutral or dissatisfied
153,5,0,0,neutral or dissatisfied
366,3,5,24,satisfied
913,2,0,0,neutral or dissatisfied
528,5,0,0,neutral or dissatisfied
1172,3,28,27,neutral or dissatisfied
999,4,0,0,neutral or dissatisfied
489,2,0,0,neutral or dissatisfied
692,1,0,0,neutral or dissatisfied
1585,2,24,20,satisfied
140,4,0,0,neutral or dissatisfied
2729,3,44,52,satisfied
1400,5,1,0,neutral or dissatisfied
447,2,7,0,neutral or dissatisfied
334,1,5,0,neutral or dissatisfied
158,2,24,20,neutral or dissatisfied
3696,1,9,0,satisfied
846,4,9,17,neutral or dissatisfied
329,0,0,0,neutral or dissatisfied
2580,3,0,11,satisfied
84,5,0,34,neutral or dissatisfied
3358,3,0,0,satisfied
308,1,83,95,neutral or dissatisfied
912,1,5,0,satisfied
406,4,0,0,neutral or dissatisfied
397,5,0,0,neutral or dissatisfied
2409,3,0,0,satisfied
545,2,0,0,neutral or dissatisfied
2419,2,0,0,neutral or dissatisfied
1061,2,13,0,neutral or dissatisfied
899,5,0,0,neutral or dissatisfied
293,4,5,0,satisfied
1085,5,0,0,neutral or dissatisfied
2475,5,0,0,satisfied
2544,5,62,66,satisfied
2556,4,117,113,satisfied
237,4,0,2,neutral or dissatisfied
1120,5,16,13,neutral or dissatisfied
2668,5,2,0,satisfied
1660,1,0,7,neutral or dissatisfied
1310,2,0,24,neutral or dissatisfied
2374,5,0,0,satisfied
209,4,0,0,neutral or dissatisfied
305,4,5,2,neutral or dissatisfied
247,1,16,6,neutral or dissatisfied
338,4,0,0,neutral or dissatisfied
3200,1,0,0,satisfied
1368,4,0,0,neutral or dissatisfied
1999,5,0,4,satisfied
680,5,0,0,satisfied
537,2,0,0,satisfied
288,1,29,40,satisfied
639,1,0,11,neutral or dissatisfied
201,5,3,8,neutral or dissatisfied
213,5,0,17,neutral or dissatisfied
1096,2,0,0,neutral or dissatisfied
1680,1,27,10,neutral or dissatisfied
2401,2,94,86,satisfied
2746,2,0,0,satisfied
89,4,0,0,neutral or dissatisfied
192,4,5,8,neutral or dissatisfied
404,3,0,0,neutral or dissatisfied
546,4,93,88,neutral or dissatisfied
2400,3,0,0,satisfied
599,2,0,46,neutral or dissatisfied
2342,3,10,0,neutral or dissatisfied
3046,5,0,0,satisfied
516,4,0,0,neutral or dissatisfied
759,3,2,1,neutral or dissatisfied
1400,1,0,0,neutral or dissatisfied
491,3,0,0,satisfied
134,3,8,3,neutral or dissatisfied
900,5,5,0,satisfied
3648,2,0,0,satisfied
3769,1,180,178,neutral or dissatisfied
563,4,0,0,satisfied
3131,1,0,0,satisfied
631,5,0,0,neutral or dissatisfied
351,3,0,0,satisfied
1189,5,9,0,satisfied
562,5,0,0,satisfied
1874,3,86,78,satisfied
158,0,0,0,satisfied
95,3,0,0,satisfied
266,1,0,0,satisfied
449,4,0,0,neutral or dissatisfied
1416,4,0,0,neutral or dissatisfied
2388,2,29,18,satisfied
1678,1,0,0,satisfied
1972,5,0,0,satisfied
337,1,0,0,satisfied
253,3,0,0,neutral or dissatisfied
212,3,82,72,satisfied
342,1,32,41,neutral or dissatisfied
3556,2,0,0,satisfied
191,4,16,12,neutral or dissatisfied
693,1,100,91,neutral or dissatisfied
641,5,0,0,satisfied
