Gender,Age,Travel_Class,Inflight_WiFi,Food_Drink,Seat_Comfort,Inflight_Entertainment,Onboard_Service,Leg_Room,Inflight_Service,Cleanliness,Overall_Satisfaction
Female,52,Eco,5,3,3,5,5,5,5,5,satisfied
Female,36,Business,1,5,5,4,4,4,4,5,satisfied
Male,20,Eco,2,2,2,2,4,1,2,2,neutral or dissatisfied
Male,44,Business,0,3,4,1,1,1,1,4,satisfied
Female,49,Eco,2,4,2,2,2,2,2,4,satisfied
Male,16,Eco,3,5,3,5,4,3,2,5,satisfied
Female,77,Business,5,3,5,5,5,5,5,3,satisfied
Female,43,Business,2,4,5,4,4,4,4,3,satisfied
Male,47,Eco,5,5,5,5,2,2,3,5,satisfied
Female,46,Business,2,3,4,4,4,4,4,4,satisfied
Female,47,Eco,4,5,5,3,3,4,3,4,satisfied
Female,33,Business,2,1,4,2,2,2,2,4,neutral or dissatisfied
Female,46,Business,5,4,5,5,5,5,5,3,satisfied
Female,60,Business,1,5,4,5,5,5,5,5,satisfied
Female,52,Business,2,5,4,4,4,4,4,5,satisfied
Male,50,Eco,3,2,2,2,4,2,5,2,neutral or dissatisfied
Female,31,Eco,2,2,2,2,4,3,3,2,neutral or dissatisfied
Male,52,Eco Plus,5,4,4,4,3,5,5,4,satisfied
Female,43,Eco,3,4,5,5,5,3,5,3,neutral or dissatisfied
Female,50,Business,5,4,4,4,4,5,4,5,satisfied
Male,60,Business,4,2,5,5,5,5,5,5,satisfied
Male,43,Eco,3,2,2,2,4,2,5,2,neutral or dissatisfied
Male,55,Eco,1,4,4,4,1,3,3,4,neutral or dissatisfied
Male,25,Business,4,4,4,4,1,5,5,4,satisfied
Female,30,Eco,4,2,2,2,3,2,4,2,neutral or dissatisfied
Male,62,Eco,3,2,2,2,3,5,4,2,neutral or dissatisfied
Male,24,Business,4,2,2,2,5,5,4,2,satisfied
Female,22,Eco,4,4,4,4,1,4,5,4,satisfied
Male,44,Business,3,5,5,5,5,5,5,5,satisfied
Male,51,Eco,4,4,4,4,3,2,4,4,neutral or dissatisfied
Male,43,Business,1,1,4,3,3,1,3,5,neutral or dissatisfied
Female,56,Eco,2,5,5,2,2,2,2,2,satisfied
Male,41,Eco,2,5,5,5,4,3,4,5,neutral or dissatisfied
Male,22,Eco,4,5,5,5,5,4,4,5,neutral or dissatisfied
Female,53,Eco,5,3,2,5,5,5,5,4,satisfied
Male,12,Eco,3,1,1,1,3,3,4,1,neutral or dissatisfied
Female,39,Business,3,2,5,4,4,4,4,5,satisfied
Female,55,Business,1,3,4,5,5,5,5,5,satisfied
Female,32,Business,4,2,4,2,4,2,5,2,neutral or dissatisfied
Female,40,Eco,1,5,5,5,3,2,4,5,neutral or dissatisfied
Female,42,Business,3,4,4,4,3,2,5,4,neutral or dissatisfied
Male,24,Eco,4,2,2,2,4,2,5,2,satisfied
Male,22,Business,3,3,3,1,5,4,2,3,neutral or dissatisfied
Female,28,Business,1,4,4,4,5,3,4,4,satisfied
Female,36,Eco Plus,2,2,2,2,1,1,4,2,neutral or dissatisfied
Female,62,Eco,5,4,1,5,5,5,5,2,satisfied
Female,60,Business,2,3,4,5,5,5,5,3,satisfied
Female,59,Eco,2,3,4,5,5,2,5,2,neutral or dissatisfied
Female,49,Business,4,2,4,5,5,5,5,3,satisfied
Female,44,Eco,2,4,3,4,4,2,4,2,neutral or dissatisfied
Female,58,Eco Plus,3,3,5,1,1,2,1,3,neutral or dissatisfied
Male,24,Business,4,2,2,2,5,3,5,2,satisfied
Female,53,Eco,4,3,4,4,4,4,4,3,satisfied
Male,56,Eco,2,2,2,2,2,5,3,2,neutral or dissatisfied
Female,30,Business,3,5,5,5,4,5,5,5,satisfied
Male,27,Business,3,2,2,2,2,1,2,2,neutral or dissatisfied
Male,27,Business,3,5,5,5,4,3,1,5,satisfied
Female,67,Eco,3,2,5,3,3,3,3,5,neutral or dissatisfied
Female,32,Eco,3,4,5,4,2,2,3,4,neutral or dissatisfied
Male,36,Eco,2,1,1,1,4,3,3,1,neutral or dissatisfied
Male,44,Business,3,5,5,4,4,5,4,5,satisfied
Female,70,Eco,1,2,5,5,5,1,5,3,neutral or dissatisfied
Female,55,Eco,3,4,4,5,5,3,5,3,neutral or dissatisfied
Male,66,Eco,4,4,4,4,3,1,5,4,satisfied
Female,19,Business,5,3,3,3,5,3,2,3,satisfied
Female,53,Eco Plus,1,4,5,4,4,1,4,4,neutral or dissatisfied
Male,22,Business,2,2,2,2,4,3,4,2,neutral or dissatisfied
Female,69,Eco,2,4,3,5,5,2,5,3,neutral or dissatisfied
Female,42,Business,5,5,4,5,5,5,5,3,satisfied
Female,41,Business,2,2,5,4,4,4,4,5,satisfied
Female,53,Business,3,3,5,1,1,3,1,4,neutral or dissatisfied
Male,35,Business,3,2,3,3,3,3,3,2,neutral or dissatisfied
Female,54,Business,3,2,5,2,2,3,2,5,neutral or dissatisfied
Male,44,Business,3,2,4,4,4,4,4,4,satisfied
Female,26,Eco Plus,1,4,3,4,3,2,4,4,neutral or dissatisfied
Female,44,Eco,2,2,4,5,5,2,5,3,neutral or dissatisfied
Female,24,Eco,2,5,5,5,4,5,5,5,neutral or dissatisfied
Female,54,Eco,2,4,5,5,5,2,5,4,neutral or dissatisfied
Male,42,Eco Plus,2,2,2,2,4,3,2,2,neutral or dissatisfied
Male,36,Eco,1,1,1,1,1,5,2,1,neutral or dissatisfied
Female,61,Business,2,1,5,3,3,4,3,4,satisfied
Female,50,Eco,2,4,5,2,2,2,2,5,neutral or dissatisfied
Male,27,Business,3,5,5,5,4,4,2,5,satisfied
Male,55,Business,3,4,2,3,3,3,3,4,neutral or dissatisfied
Male,21,Eco,2,1,1,1,4,4,3,1,neutral or dissatisfied
Female,31,Business,2,5,5,5,2,4,4,5,neutral or dissatisfied
Female,37,Eco,1,1,1,1,1,4,3,1,neutral or dissatisfied
Female,50,Business,1,2,4,5,5,5,5,5,satisfied
Female,21,Eco,1,3,3,3,5,4,5,3,neutral or dissatisfied
Female,53,Eco,1,1,3,4,4,1,4,1,neutral or dissatisfied
Male,45,Business,3,3,4,5,5,5,5,4,satisfied
Female,42,Eco,3,5,5,5,5,5,4,5,neutral or dissatisfied
Male,59,Business,3,3,4,4,4,4,4,3,satisfied
Female,54,Eco,2,5,3,2,2,2,2,1,neutral or dissatisfied
Female,46,Business,1,2,4,4,4,4,4,4,satisfied
Female,52,Eco Plus,3,2,4,2,2,3,2,4,neutral or dissatisfied
Female,38,Eco,2,5,5,5,5,4,5,5,neutral or dissatisfied
Male,35,Business,3,1,3,4,4,4,4,3,satisfied
Female,41,Eco,2,4,4,4,1,3,4,4,neutral or dissatisfied
Female,40,Business,2,4,4,4,3,2,5,4,neutral or dissatisfied
Female,36,Eco,2,4,4,4,1,4,2,4,neutral or dissatisfied
Male,67,Eco,2,2,2,2,5,2,5,2,neutral or dissatisfied
Female,38,Eco,4,5,5,5,2,2,4,5,satisfied
Female,50,Eco,3,5,5,5,5,3,5,4,neutral or dissatisfied
Male,50,Business,5,2,4,2,2,2,2,5,satisfied
Male,54,Business,5,5,5,3,3,3,3,5,satisfied
Male,56,Business,4,4,4,4,4,4,4,5,satisfied
Male,38,Eco,3,2,2,2,3,3,3,2,neutral or dissatisfied
Female,7,Eco,3,2,2,2,4,4,5,2,neutral or dissatisfied
Female,32,Business,5,4,4,4,5,2,5,4,satisfied
Male,45,Eco,4,4,4,4,2,5,3,4,neutral or dissatisfied
Male,25,Eco,2,3,3,3,1,4,4,3,neutral or dissatisfied
Female,45,Business,5,4,4,4,4,4,4,5,satisfied
Male,34,Eco,3,1,1,1,1,5,3,1,neutral or dissatisfied
Male,20,Eco Plus,3,1,1,1,3,3,5,1,neutral or dissatisfied
Female,36,Eco,2,1,1,1,4,1,2,1,neutral or dissatisfied
Male,36,Eco,3,2,2,2,3,4,3,2,neutral or dissatisfied
Male,27,Business,1,5,5,5,4,5,1,5,satisfied
Male,40,Eco,3,3,3,3,4,2,4,3,neutral or dissatisfied
Male,31,Business,4,5,5,5,4,4,4,5,satisfied
Male,25,Eco Plus,0,1,1,1,3,1,5,1,satisfied
Male,42,Business,2,1,3,5,5,5,5,3,satisfied
Female,45,Eco,5,1,3,5,5,5,5,3,satisfied
Male,59,Business,2,4,3,3,3,2,3,1,neutral or dissatisfied
Male,34,Eco,3,2,5,2,5,2,1,2,neutral or dissatisfied
Female,22,Eco,3,3,1,3,1,5,2,3,neutral or dissatisfied
Male,21,Eco,2,2,3,2,3,1,4,2,neutral or dissatisfied
Male,26,Business,3,3,3,3,1,2,3,3,neutral or dissatisfied
Male,37,Business,2,5,1,4,4,4,4,5,satisfied
Male,38,Business,2,2,2,4,4,4,4,5,satisfied
Female,17,Eco,3,5,3,5,3,4,5,5,neutral or dissatisfied
Male,15,Eco Plus,2,5,5,5,5,4,5,5,neutral or dissatisfied
Female,53,Eco,3,4,4,5,5,3,5,2,neutral or dissatisfied
Male,39,Business,4,2,2,2,3,5,4,2,neutral or dissatisfied
Male,40,Business,4,2,5,5,5,5,5,3,satisfied
Female,28,Eco Plus,2,4,4,4,3,3,3,4,neutral or dissatisfied
