Passenger_ID,Gender,Age,Online_Booking,Online_Boarding,CheckIn_Service,Dep_Arr_Time_Convenient,Gate_Location,Baggage_Handling,Onboard_Service,Seat_Comfort,Leg_Room,Cleanliness,Food_Drink,Inflight_Entertainment,Inflight_WiFi,Inflight_Service,Avg_Sat_Score,Customer_Sat
19556,Female,52,3,4,2,4,4,5,5,3,5,5,3,5,5,5,4.14,Satisfied
90035,Female,36,3,4,3,1,1,4,4,5,4,5,5,4,1,4,3.43,Neutral
12360,Male,20,2,2,2,0,4,3,4,2,1,2,2,2,2,2,2.14,Neutral
77959,Male,44,0,4,3,0,2,1,1,4,1,4,3,1,0,1,1.79,Dissatisfied
36875,Female,49,4,1,4,3,3,2,2,2,2,4,4,2,2,2,2.64,Neutral
39177,Male,16,3,5,1,3,3,1,4,3,3,5,5,5,3,2,3.29,Neutral
79433,Female,77,5,5,4,5,5,5,5,5,5,3,3,5,5,5,4.64,Satisfied
97286,Female,43,2,4,5,2,2,4,4,5,4,3,4,4,2,4,3.50,Neutral
27508,Male,47,2,5,3,2,2,5,2,5,2,5,5,5,5,3,3.64,Neutral
62482,Female,46,2,4,5,2,2,4,4,4,4,4,3,4,2,4,3.43,Neutral
47583,Female,47,1,1,1,1,1,3,3,5,4,4,5,3,4,3,2.79,Neutral
115550,Female,33,5,3,3,5,5,2,2,4,2,4,1,2,2,2,3.00,Neutral
119987,Female,46,5,5,5,5,5,5,5,5,5,3,4,5,5,5,4.79,Satisfied
42141,Female,60,4,5,3,1,1,5,5,4,5,5,5,5,1,5,3.86,Neutral
2274,Female,52,2,5,3,2,2,4,4,4,4,5,5,4,2,4,3.57,Neutral
22470,Male,50,0,0,4,4,3,4,4,2,2,2,2,2,3,5,2.64,Neutral
124915,Female,31,5,2,4,5,5,3,4,2,3,2,2,2,2,3,3.14,Neutral
17836,Male,52,5,5,4,4,3,5,3,4,5,4,4,4,5,5,4.29,Satisfied
76872,Female,43,3,4,4,4,1,5,5,5,3,3,4,5,3,5,3.86,Neutral
64287,Female,50,5,5,5,5,5,4,4,4,5,5,4,4,5,4,4.57,Satisfied
63995,Male,60,4,4,5,4,4,5,5,5,5,5,2,5,4,5,4.43,Satisfied
75855,Male,43,3,3,4,4,4,4,4,2,2,2,2,2,3,5,3.14,Neutral
106181,Male,55,4,4,4,2,3,2,1,4,3,4,4,4,1,3,3.07,Neutral
44304,Male,25,4,4,1,4,4,3,1,4,5,4,4,4,4,5,3.64,Neutral
82602,Female,30,5,5,4,3,3,3,3,2,2,2,2,2,4,4,3.14,Neutral
7823,Male,62,3,3,4,5,4,5,3,2,5,2,2,2,3,4,3.36,Neutral
127781,Male,24,4,2,5,1,4,5,5,2,5,2,2,2,4,4,3.36,Neutral
34501,Female,22,1,4,1,1,1,1,1,4,4,4,4,4,4,5,2.79,Neutral
121658,Male,44,3,4,5,5,3,5,5,5,5,5,5,5,3,5,4.50,Satisfied
20219,Male,51,3,4,3,3,3,3,3,4,2,4,4,4,4,4,3.43,Neutral
67551,Male,43,1,1,4,5,1,5,3,4,1,5,1,3,1,3,2.71,Neutral
48994,Female,56,3,2,2,3,3,2,2,5,2,2,5,2,2,2,2.64,Neutral
70811,Male,41,2,2,1,3,4,3,4,5,3,5,5,5,2,4,3.43,Neutral
75241,Male,22,4,4,4,5,4,4,5,5,4,5,5,5,4,4,4.43,Satisfied
12312,Female,53,2,4,2,2,2,5,5,2,5,4,3,5,5,5,3.64,Neutral
48372,Male,12,3,3,4,4,1,5,3,1,3,1,1,1,3,4,2.64,Neutral
51477,Female,39,3,4,4,3,3,4,4,5,4,5,2,4,3,4,3.71,Neutral
84204,Female,55,1,5,3,1,1,5,5,4,5,5,3,5,1,5,3.50,Neutral
70990,Female,32,4,4,3,4,2,4,4,4,2,2,2,2,4,5,3.29,Neutral
101991,Female,40,1,1,5,4,3,5,3,5,2,5,5,5,1,4,3.50,Neutral
87447,Female,42,3,3,5,3,5,5,3,4,2,4,4,4,3,5,3.79,Neutral
16112,Male,24,4,4,1,4,2,3,4,2,2,2,2,2,4,5,2.93,Neutral
16172,Male,22,3,3,3,3,3,3,5,3,4,3,3,1,3,2,3.00,Neutral
106558,Female,28,1,4,5,1,1,5,5,4,3,4,4,4,1,4,3.29,Neutral
11536,Female,36,3,2,4,3,3,3,1,2,1,2,2,2,2,4,2.43,Neutral
47773,Female,62,1,2,5,1,1,5,5,1,5,2,4,5,5,5,3.36,Neutral
70521,Female,60,3,5,5,2,2,5,5,4,5,3,3,5,2,5,3.86,Neutral
96283,Female,59,2,3,1,5,5,4,5,4,2,2,3,5,2,5,3.43,Neutral
117993,Female,49,3,5,5,4,4,5,5,4,5,3,2,5,4,5,4.21,Satisfied
74703,Female,44,2,4,2,4,3,4,4,3,2,2,4,4,2,4,3.14,Neutral
110840,Female,58,2,4,5,5,3,1,1,5,2,3,3,1,3,1,2.79,Neutral
88249,Male,24,4,4,3,0,2,5,5,2,3,2,2,2,4,5,3.07,Neutral
125877,Female,53,2,3,3,2,2,4,4,4,4,3,3,4,4,4,3.29,Neutral
83968,Male,56,4,2,3,3,3,3,2,2,5,2,2,2,2,3,2.71,Neutral
122719,Female,30,4,5,3,3,3,4,4,5,5,5,5,5,3,5,4.21,Satisfied
3949,Male,27,3,3,3,3,2,3,2,2,1,2,2,2,3,2,2.36,Neutral
45542,Male,27,3,5,1,3,3,1,4,5,3,5,5,5,3,1,3.36,Neutral
43742,Female,67,3,4,3,4,1,3,3,5,3,5,2,3,3,3,3.21,Neutral
122093,Female,32,3,3,5,0,3,4,2,5,2,4,4,4,3,3,3.21,Neutral
121454,Male,36,2,2,1,0,1,4,4,1,3,1,1,1,2,3,1.86,Dissatisfied
738,Male,44,3,4,4,3,3,4,4,5,5,5,5,4,3,4,4.00,Satisfied
75235,Female,70,1,5,4,4,1,5,5,5,1,3,2,5,1,5,3.36,Neutral
88653,Female,55,3,3,4,2,4,5,5,4,3,3,4,5,3,5,3.79,Neutral
26594,Male,66,1,4,2,1,1,3,3,4,1,4,4,4,4,5,2.93,Neutral
38339,Female,19,5,4,1,5,5,3,5,3,3,3,3,3,5,2,3.57,Neutral
46063,Female,53,1,4,5,5,2,4,4,5,1,4,4,4,1,4,3.43,Neutral
27957,Male,22,2,2,2,2,2,2,4,2,3,2,2,2,2,4,2.36,Neutral
17270,Female,69,2,2,3,3,2,5,5,3,2,3,4,5,2,5,3.29,Neutral
87976,Female,42,5,4,4,5,5,5,5,4,5,3,5,5,5,5,4.64,Satisfied
31640,Female,41,2,3,5,2,2,4,4,5,4,5,2,4,2,4,3.43,Neutral
41461,Female,53,3,3,4,4,5,1,1,5,3,4,3,1,3,1,2.93,Neutral
15143,Male,35,2,4,3,2,2,3,3,3,3,2,2,3,3,3,2.71,Neutral
